Incidents_Recorded,Crime_Rate,Crime_City,Number_of_Records,Offence_Division,Offence Subdivision,Offence Subgroup,Crime_Year
2,1.97,BALLARAT,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,6.98,SOUTH GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,6.16,BASS COAST,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,14.48,MURRINDINDI,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,23.58,MANSFIELD,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,14.37,BENALLA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,3.65,GREATER BENDIGO,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.14,BOROONDARA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
9,4.45,BRIMBANK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
6,6.49,CARDINIA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,1.33,CASEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,26.54,LODDON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,2.63,DAREBIN,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,4.47,EAST GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.45,FRANKSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,1.72,GREATER GEELONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.37,GLEN EIRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.98,BAYSIDE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
7,4.46,GREATER DANDENONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,3.1,GREATER SHEPPARTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,2.18,HOBSONS BAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,34.61,HINDMARSH,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
6,3.02,HUME,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.28,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.28,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.26,KNOX,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,2.7,LATROBE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,2.7,LATROBE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,10.69,MOUNT ALEXANDER,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,4.31,MACEDON RANGES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.65,MANNINGHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,2.35,MARIBYRNONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.77,MAROONDAH,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
7,5.05,MELBOURNE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
6,4.43,MELTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,3.69,MILDURA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,4.98,MITCHELL,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.06,MONASH,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,3.32,MOONEE VALLEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,6.3,MOORABOOL,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.19,MORELAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
7,4.42,MORNINGTON PENINSULA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,3.13,NILLUMBIK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.88,PORT PHILLIP,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,10.14,GLENELG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.84,STONNINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,9.41,COLAC OTWAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,31.9,BULOKE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,4.63,WELLINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,4.63,WELLINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,1.01,WHITTLESEA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,5.12,WODONGA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,12.63,INDIGO,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
12,5.58,WYNDHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
4,2.6,YARRA RANGES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2015
2,27.39,PYRENEES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.93,BALLARAT,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.57,BANYULE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,6.91,SOUTH GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,4.08,BAW BAW,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
6,5.37,GREATER BENDIGO,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.13,BOROONDARA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
9,4.37,BRIMBANK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,5.34,CAMPASPE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,2.05,CARDINIA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
9,2.87,CASEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.29,DAREBIN,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,4.4,EAST GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
6,4.3,FRANKSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
8,3.35,GREATER GEELONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.34,GLEN EIRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.95,BAYSIDE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.24,GREATER DANDENONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,3.07,GREATER SHEPPARTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,2.14,HOBSONS BAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,10.09,HORSHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
13,6.26,HUME,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.26,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.26,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.24,KNOX,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
4,5.38,LATROBE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
4,5.38,LATROBE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.63,MANNINGHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,2.29,MARIBYRNONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
6,4.05,MELBOURNE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
4,2.82,MELTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
5,9.16,MILDURA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,19.36,STRATHBOGIE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.04,MONASH,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,1.63,MOONEE VALLEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,6.12,MOORABOOL,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,9.12,GOLDEN PLAINS,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
8,4.65,MORELAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
4,2.49,MORNINGTON PENINSULA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,3.11,NILLUMBIK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,29.68,YARRIAMBIACK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
5,4.61,PORT PHILLIP,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,12.45,SOUTHERN GRAMPIANS,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,10.14,GLENELG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
5,4.48,STONNINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,9.36,COLAC OTWAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
4,14.01,WANGARATTA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,6.82,MOIRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,11.98,MOYNE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,4.6,WELLINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,4.6,WELLINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
4,2.35,WHITEHORSE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
8,3.85,WHITTLESEA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
2,12.47,INDIGO,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
5,2.19,WYNDHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
5,5.35,YARRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
5,3.22,YARRA RANGES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2016
4,3.8,BALLARAT,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.55,BANYULE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,6.87,SOUTH GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,5.84,BASS COAST,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,14.12,MURRINDINDI,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,22.92,MANSFIELD,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,14.33,BENALLA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,3.52,GREATER BENDIGO,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.11,BOROONDARA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
10,4.8,BRIMBANK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,5.34,CAMPASPE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,3.9,CARDINIA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
9,2.75,CASEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
5,3.15,DAREBIN,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,4.35,EAST GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,2.84,FRANKSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
7,2.86,GREATER GEELONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.32,GLEN EIRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.92,BAYSIDE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
9,5.48,GREATER DANDENONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,6.1,GREATER SHEPPARTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,2.11,HOBSONS BAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,10.08,HORSHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
6,2.78,HUME,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
7,4.35,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
7,4.35,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.23,KNOX,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,5.36,LATROBE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,5.36,LATROBE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,10.43,MOUNT ALEXANDER,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,4.13,MACEDON RANGES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,3.21,MANNINGHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,4.46,MARIBYRNONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
9,5.63,MELBOURNE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.34,MELTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,3.63,MILDURA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.02,MONASH,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.59,MOONEE VALLEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
4,11.97,MOORABOOL,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,12.76,HEPBURN,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,8.9,GOLDEN PLAINS,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
8,4.53,MORELAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
5,3.06,MORNINGTON PENINSULA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,3.09,NILLUMBIK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,12.46,SOUTHERN GRAMPIANS,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.75,STONNINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,9.33,COLAC OTWAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,9.59,SWAN HILL,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,18.93,GANNAWARRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
5,17.35,WANGARATTA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,6.79,MOIRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,15.98,ALPINE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,11.95,MOYNE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,4.57,WELLINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,4.57,WELLINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
5,2.88,WHITEHORSE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,0.92,WHITTLESEA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,4.93,WODONGA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,12.33,INDIGO,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
5,2.07,WYNDHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,2.08,YARRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,1.27,YARRA RANGES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2017
2,27.07,PYRENEES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.86,BALLARAT,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.53,BANYULE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,5.71,BASS COAST,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,3.86,BAW BAW,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,13.97,MURRINDINDI,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,22.52,MANSFIELD,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,14.31,BENALLA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.73,GREATER BENDIGO,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.1,BOROONDARA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
13,6.18,BRIMBANK,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,5.33,CAMPASPE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.85,CARDINIA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
7,2.05,CASEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,15.23,CENTRAL GOLDFIELDS,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.24,DAREBIN,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
6,12.88,EAST GIPPSLAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.41,FRANKSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
5,1.99,GREATER GEELONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.3,GLEN EIRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.9,BAYSIDE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.2,GREATER DANDENONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
5,7.54,GREATER SHEPPARTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,2.08,HOBSONS BAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
6,2.65,HUME,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
4,2.44,KINGSTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.22,KNOX,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
4,5.34,LATROBE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,10.29,MOUNT ALEXANDER,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,4.05,MACEDON RANGES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.58,MANNINGHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,2.16,MARIBYRNONG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
5,4.24,MAROONDAH,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
12,6.89,MELBOURNE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
7,4.51,MELTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,3.6,MILDURA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,18.93,STRATHBOGIE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,4.53,MITCHELL,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
7,3.49,MONASH,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.56,MOONEE VALLEY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,12.61,HEPBURN,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
5,2.77,MORELAND,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.21,MORNINGTON PENINSULA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,17.48,NORTHERN GRAMPIANS,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.77,PORT PHILLIP,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,10.19,GLENELG,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.72,STONNINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,6.22,SURF COAST,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
5,23.28,COLAC OTWAY,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,9.59,SWAN HILL,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,6.89,WANGARATTA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,6.75,MOIRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,4.54,WELLINGTON,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,1.13,WHITEHORSE,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
7,3.14,WHITTLESEA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,0.78,WYNDHAM,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
2,2.04,YARRA,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
5,3.16,YARRA RANGES,1,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2018
7,97.57,PYRENEES,1,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2015
7,97.57,PYRENEES,1,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2015
3,41.82,PYRENEES,1,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2015
3,41.82,PYRENEES,1,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,2015
1,13.94,PYRENEES,1,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",2015
176,173.39,BALLARAT,1,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2015
199,196.05,BALLARAT,1,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2015
144,141.86,BALLARAT,1,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2015
100,98.52,BALLARAT,1,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,2015
35,34.48,BALLARAT,1,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",2015
110,87.02,BANYULE,1,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2015
145,114.71,BANYULE,1,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2015
141,111.54,BANYULE,1,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2015
149,117.87,BANYULE,1,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,2015
34,26.9,BANYULE,1,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",2015
17,59.31,SOUTH GIPPSLAND,1,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2015
35,122.12,SOUTH GIPPSLAND,1,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2015
31,108.16,SOUTH GIPPSLAND,1,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2015
22,76.76,SOUTH GIPPSLAND,1,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,2015
6,20.93,SOUTH GIPPSLAND,1,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",2015
43,132.35,BASS COAST,1,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2015
91,280.09,BASS COAST,1,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2015
59,181.59,BASS COAST,1,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2015
70,215.45,BASS COAST,1,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,2015
12,36.93,BASS COAST,1,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",2015
26,54.56,BAW BAW,1,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2015
106,222.44,BAW BAW,1,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2015
88,184.66,BAW BAW,1,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2015
72,151.09,BAW BAW,1,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,2015
9,18.89,BAW BAW,1,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",2015
13,94.11,MURRINDINDI,1,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2015
18,130.3,MURRINDINDI,1,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2015
13,94.11,MURRINDINDI,1,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,2015
11,79.63,MURRINDINDI,1,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,2015
